student_id,year,grade,attendance_category,attendance_rate,days_present,total_days,avg_score,score_std,min_score,max_score,iq_level,study_hours_per_week,student_type,has_tuition,has_learning_difficulty,failing_subjects,weak_subjects,homework_completion_rate,homework_on_time_rate,classwork_completion_rate,parent_engagement_score,parent_meeting_attendance_rate,lms_time_hours,lms_engagement_score,health_status,absences_due_to_sickness,health_incidents,attendance_risk_score,academic_risk_score,behavioral_risk_score,overall_risk_score,risk_level,risk_category,Buddhism_score,English_score,Geography_score,History_score,ICT_score,Mathematics_score,Science_score,Sinhala_score,had_intervention,intervention_type,intervention_effective
STU0075,2025,10,good,72.54,140,193,94.83,7.46,49.1,100.0,109,18.1,science_oriented,1,0,0,1,0.8946,0.7158,0.9051,0.7309,0.6667,122.95,0.751,average,34,1,100.0,12.18,13.38,38.82,Medium,Medium Risk,97.59,96.68,95.68,92.08,97.97,97.62,97.6,82.45,0,None,0
STU0076,2023,8,excellent,88.5,177,200,80.97,15.4,28.0,100.0,100,13.1,language_oriented,0,0,1,0,0.7003,0.5975,0.7691,0.6958,0.6667,76.03,0.8111,excellent,12,0,44.05,28.6,16.41,30.19,Medium,Medium Risk,93.3,82.27,83.53,95.1,68.76,63.79,76.85,96.23,0,None,0
STU0076,2024,9,excellent,89.9,178,198,83.14,14.24,30.6,100.0,100,13.1,language_oriented,0,0,1,0,0.6923,0.5926,0.7692,0.6958,0.6667,94.57,0.8111,excellent,10,1,37.07,27.9,16.45,27.79,Medium,Medium Risk,93.62,86.11,86.44,95.3,69.14,67.46,80.26,96.85,1,Academic Advising,1
STU0076,2025,10,excellent,89.64,173,193,84.4,13.95,31.7,100.0,100,13.1,language_oriented,0,0,1,0,0.693,0.5951,0.7684,0.6958,0.6667,152.07,0.8111,excellent,11,1,40.25,27.38,16.44,28.51,Medium,Medium Risk,93.61,86.7,87.19,96.2,73.29,68.06,82.13,96.91,0,None,0
STU0077,2023,8,excellent,85.0,170,200,97.3,3.05,72.0,100.0,124,21.0,language_oriented,1,0,0,0,0.9406,0.8906,0.9747,0.6471,0.6667,148.22,0.7883,good,20,3,70.5,2.27,11.71,25.1,Low,Low Risk,97.82,97.81,97.79,97.73,97.6,95.21,97.74,97.56,0,None,0
STU0077,2024,9,excellent,81.31,161,198,97.56,2.23,79.5,100.0,124,21.0,language_oriented,1,0,0,0,0.9487,0.8919,0.9692,0.6471,0.6667,127.43,0.7883,good,23,3,82.08,2.0,11.78,28.47,Medium,Medium Risk,97.8,97.98,97.89,97.66,97.6,96.58,97.54,97.71,0,None,0
STU0077,2025,10,excellent,85.49,165,193,97.49,2.33,77.7,100.0,124,21.0,language_oriented,1,0,0,0,0.9473,0.8887,0.9739,0.6471,0.6667,77.1,0.7883,good,18,1,64.16,2.06,11.74,23.11,Low,Low Risk,97.49,97.46,97.65,97.89,97.44,96.65,97.86,97.71,1,Academic Advising,1
STU0078,2023,8,good,70.0,140,200,79.69,19.8,12.0,100.0,114,13.7,practical,0,0,1,1,0.8119,0.6528,0.8253,0.8379,0.6667,124.52,0.95,excellent,26,0,99.0,34.89,10.08,47.92,Medium,Medium Risk,96.86,88.61,95.88,65.19,95.82,46.11,81.74,83.43,0,None,0
STU0078,2024,9,good,74.24,147,198,81.96,18.62,23.6,100.0,114,13.7,practical,0,0,1,1,0.8205,0.6562,0.8308,0.8379,0.6667,159.32,0.95,excellent,28,1,100.0,33.81,9.97,47.7,Medium,Medium Risk,97.08,90.79,96.8,69.97,95.64,47.49,83.97,85.38,0,None,0
STU0078,2025,10,good,70.98,137,193,82.32,18.19,22.2,100.0,114,13.7,practical,0,0,1,0,0.8155,0.6559,0.8261,0.8379,0.6667,96.73,0.95,excellent,30,1,100.0,25.76,10.04,44.1,Medium,Medium Risk,96.79,93.23,96.68,73.43,96.25,50.87,83.86,85.95,0,None,0
STU0079,2023,8,good,79.0,158,200,94.55,6.49,62.4,100.0,141,11.7,balanced,0,0,0,0,0.7182,0.6792,0.8,0.8147,0.6667,82.85,0.7254,excellent,18,1,68.7,7.82,14.03,27.63,Medium,Medium Risk,92.56,96.75,93.28,91.34,96.79,94.47,96.43,93.33,0,None,0
STU0079,2024,9,good,78.28,155,198,94.99,6.16,54.9,100.0,141,11.7,balanced,0,0,0,0,0.7179,0.6786,0.8,0.8147,0.6667,158.67,0.7254,excellent,19,0,72.2,7.64,14.04,28.61,Medium,Medium Risk,92.85,96.51,93.32,91.93,96.5,95.71,96.88,94.42,1,Parent Meeting,1
STU0079,2025,10,good,75.65,146,193,95.41,5.67,61.1,100.0,141,11.7,balanced,0,0,0,0,0.7194,0.6832,0.8,0.8147,0.6667,134.58,0.7254,excellent,27,1,98.05,7.45,13.99,36.26,Medium,Medium Risk,94.03,96.34,95.35,92.84,96.86,95.11,97.25,94.89,1,Study Group,1
STU0080,2023,8,excellent,78.5,157,200,48.01,13.78,5.9,97.0,96,16.2,balanced,1,1,2,5,0.5637,0.4404,0.6,0.7227,0.6667,146.98,0.7466,below_average,32,6,100.0,99.52,40.94,85.02,High,High Risk,34.27,46.71,53.56,40.71,44.22,56.17,41.73,61.33,0,None,0
STU0080,2024,9,excellent,83.33,165,198,50.72,14.17,8.9,95.8,96,16.2,balanced,1,1,1,4,0.5641,0.4545,0.6,0.7227,0.6667,117.45,0.7466,below_average,25,6,86.67,75.43,40.8,70.14,High,High Risk,35.95,51.26,54.94,43.14,47.74,58.21,43.65,65.06,1,Tutoring,1
STU0080,2025,10,excellent,81.87,158,193,53.59,13.57,15.3,99.3,96,16.2,balanced,1,1,1,3,0.5613,0.453,0.6,0.7227,0.6667,119.17,0.7466,below_average,29,4,99.69,66.34,40.82,69.97,High,High Risk,39.26,55.14,60.94,46.05,50.64,60.7,45.58,66.88,1,Parent Meeting,1
STU0081,2023,8,moderate,60.0,120,200,64.39,13.54,21.6,100.0,95,9.3,practical,1,0,1,0,0.6152,0.5419,0.6463,0.6149,0.3333,72.95,0.8043,good,45,2,100.0,36.94,20.52,51.75,High,High Risk,77.71,70.8,71.87,57.69,61.91,51.41,66.71,61.96,0,None,0
STU0081,2024,9,moderate,59.09,117,198,66.11,13.79,18.5,100.0,95,9.3,practical,1,0,1,0,0.6154,0.5417,0.6462,0.6149,0.3333,101.88,0.8043,good,43,1,100.0,36.25,20.53,51.44,High,High Risk,79.92,73.12,74.88,60.36,62.16,52.28,67.06,65.3,1,Tutoring,1
STU0081,2025,10,moderate,63.73,123,193,68.3,14.52,28.1,100.0,95,9.3,practical,1,0,1,0,0.614,0.5429,0.6474,0.6149,0.3333,79.42,0.8043,good,35,2,100.0,35.4,20.5,51.05,High,High Risk,82.69,77.46,75.68,60.63,65.67,54.26,69.7,66.43,1,Counseling,1
STU0082,2023,8,moderate,58.0,116,200,65.92,16.3,21.3,100.0,91,13.9,language_oriented,0,0,1,1,0.7261,0.6473,0.8,0.654,0.6667,100.47,0.8344,good,50,3,100.0,42.11,15.93,52.93,High,High Risk,89.27,79.82,66.66,72.15,57.74,68.05,42.71,63.57,0,None,0
STU0082,2024,9,moderate,62.63,124,198,67.13,16.93,19.3,100.0,91,13.9,language_oriented,0,0,1,1,0.7179,0.6429,0.8,0.654,0.6667,80.68,0.8344,good,48,2,100.0,41.79,15.97,52.8,High,High Risk,90.85,81.36,65.81,72.81,57.35,70.32,43.4,65.88,1,Tutoring,0
STU0082,2025,10,moderate,66.84,129,193,68.16,16.41,25.6,100.0,91,13.9,language_oriented,0,0,1,1,0.7194,0.6465,0.8,0.654,0.6667,51.65,0.8344,good,40,2,100.0,41.35,15.94,52.59,High,High Risk,90.52,80.94,67.22,76.03,58.15,71.48,44.84,66.23,1,Counseling,0
STU0083,2023,8,good,71.0,142,200,59.83,16.38,9.7,98.7,104,14.1,balanced,0,0,1,2,0.6152,0.4581,0.6871,0.8247,0.6667,177.02,0.605,excellent,31,1,100.0,54.76,19.54,59.53,Medium,Medium Risk,72.12,48.56,60.66,71.68,66.06,63.22,65.86,35.86,0,None,0
STU0083,2024,9,good,78.79,156,198,62.58,16.6,7.4,100.0,104,14.1,balanced,0,0,1,2,0.6154,0.4583,0.6923,0.8247,0.6667,145.7,0.605,excellent,19,1,71.85,53.66,19.46,50.57,Medium,Medium Risk,74.17,48.98,63.59,73.63,73.13,62.84,67.88,38.41,0,None,0
STU0083,2025,10,good,71.5,138,193,64.17,15.94,12.0,100.0,104,14.1,balanced,0,0,1,1,0.614,0.4571,0.6893,0.8247,0.6667,89.53,0.605,excellent,25,0,94.95,45.05,19.52,53.64,Medium,Medium Risk,76.31,53.8,64.05,74.36,70.52,64.84,71.4,40.5,0,None,0
STU0084,2023,8,excellent,83.5,167,200,97.69,2.06,80.4,100.0,114,23.7,balanced,1,0,0,0,0.7604,0.5843,0.7691,0.7555,0.6667,82.23,0.95,good,19,1,68.55,5.72,13.26,26.45,Medium,Medium Risk,97.28,97.81,97.75,97.33,97.67,97.67,97.91,97.85,0,None,0
STU0084,2024,9,excellent,80.3,159,198,97.89,1.88,81.7,100.0,114,23.7,balanced,1,0,0,0,0.7692,0.5667,0.7692,0.7555,0.6667,106.4,0.95,good,26,0,91.79,5.46,13.44,33.35,Medium,Medium Risk,98.04,97.85,98.08,97.78,97.95,97.97,97.69,97.83,0,None,0
STU0084,2025,10,excellent,87.05,168,193,97.75,1.88,89.3,100.0,114,23.7,balanced,1,0,0,0,0.7628,0.5753,0.7684,0.7555,0.6667,97.28,0.95,good,15,5,54.07,5.64,13.36,22.1,Low,Low Risk,97.8,97.65,97.75,97.6,97.92,97.65,97.66,98.0,0,None,0
STU0085,2023,8,at-risk,33.0,66,200,28.66,11.91,4.9,64.3,104,4.5,practical,0,0,8,2,0.3756,0.3178,0.3846,0.3478,0.3333,19.02,0.3064,good,80,1,100.0,100.0,59.5,89.88,High,High Risk,24.16,34.0,36.77,18.61,42.64,22.55,25.41,29.28,0,None,0
STU0085,2024,9,at-risk,32.32,64,198,31.84,12.41,6.0,69.3,104,4.5,practical,0,0,7,3,0.3846,0.3333,0.3846,0.3478,0.3333,21.87,0.3064,good,74,3,100.0,100.0,59.34,89.84,High,High Risk,25.68,37.37,36.96,20.9,47.64,24.43,29.43,33.87,0,None,0
STU0085,2025,10,at-risk,35.23,68,193,34.57,12.38,5.7,73.5,104,4.5,practical,0,0,6,4,0.3768,0.3248,0.3842,0.3478,0.3333,34.85,0.3064,good,79,1,100.0,100.0,59.44,89.86,High,High Risk,28.86,40.84,40.0,24.44,49.43,26.73,30.94,35.74,1,Mentoring Program,0
STU0086,2023,8,moderate,72.0,144,200,57.59,13.06,18.4,96.3,110,6.6,balanced,0,0,1,2,0.6072,0.5067,0.6511,0.5502,0.3333,67.27,0.757,average,35,1,100.0,55.82,42.81,65.82,High,High Risk,51.31,65.79,65.75,68.25,47.74,60.7,48.43,55.95,0,None,0
STU0086,2024,9,moderate,67.68,134,198,59.51,13.15,23.9,92.8,110,6.6,balanced,0,0,1,2,0.6154,0.5,0.6462,0.5502,0.3333,78.45,0.757,average,41,6,100.0,54.89,42.95,65.44,High,High Risk,56.21,68.63,66.13,68.89,49.62,62.73,49.42,56.67,0,None,0
STU0086,2025,10,moderate,73.58,142,193,62.58,12.76,25.7,100.0,110,6.6,balanced,0,0,1,0,0.614,0.5,0.6474,0.5502,0.3333,97.9,0.757,average,34,3,100.0,37.69,42.93,57.69,Medium,Medium Risk,57.48,70.33,70.56,71.59,53.9,66.16,52.7,59.51,1,Mentoring Program,0
STU0087,2023,8,good,83.5,167,200,66.74,16.22,24.0,100.0,110,8.6,practical,0,0,1,1,0.6667,0.5772,0.6717,0.8089,0.6667,113.37,0.7585,average,23,1,80.55,42.97,16.6,47.65,Medium,Medium Risk,66.1,54.92,72.41,63.13,70.97,49.95,89.49,66.58,0,None,0
STU0087,2024,9,good,75.76,150,198,69.6,15.89,24.3,100.0,110,8.6,practical,0,0,1,0,0.6667,0.5769,0.6769,0.8089,0.6667,128.1,0.7585,average,36,1,100.0,33.83,16.52,49.35,Medium,Medium Risk,69.56,57.5,78.45,64.47,70.46,54.45,90.74,70.52,0,None,0
STU0087,2025,10,good,69.95,135,193,72.22,15.52,27.5,100.0,110,8.6,practical,0,0,1,0,0.6667,0.5791,0.6735,0.8089,0.6667,100.1,0.7585,average,41,1,100.0,32.78,16.55,48.89,High,High Risk,71.12,61.06,79.71,69.96,76.7,57.02,92.0,73.45,0,None,0
STU0088,2023,8,at-risk,29.0,58,200,23.08,12.44,5.3,63.8,73,5.7,science_oriented,0,0,9,1,0.2818,0.2106,0.3798,0.3015,0.3333,9.32,0.4172,good,89,3,100.0,100.0,59.91,89.98,High,High Risk,12.0,19.58,26.54,12.44,41.39,28.8,27.84,11.99,0,None,0
STU0088,2024,9,at-risk,27.27,54,198,25.42,12.7,4.7,72.0,73,5.7,science_oriented,0,0,9,1,0.2821,0.1818,0.3846,0.3015,0.3333,8.22,0.4172,good,99,2,100.0,100.0,60.12,90.03,High,High Risk,15.11,21.07,30.81,13.0,43.57,31.06,28.93,13.41,0,None,0
STU0088,2025,10,at-risk,25.91,50,193,27.75,13.42,3.6,67.4,73,5.7,science_oriented,0,0,9,1,0.2806,0.1879,0.3842,0.3015,0.3333,17.02,0.4172,good,84,3,100.0,100.0,60.07,90.02,High,High Risk,17.46,22.14,32.65,15.81,46.63,33.78,32.98,15.29,1,Mentoring Program,1
STU0089,2023,8,moderate,65.0,130,200,75.08,14.79,29.6,100.0,114,12.1,science_oriented,1,0,1,1,0.7439,0.5865,0.8154,0.5993,0.3333,55.08,0.6009,average,48,5,100.0,38.09,20.9,52.37,High,High Risk,81.1,76.74,79.42,49.87,79.08,88.59,76.09,66.05,0,None,0
STU0089,2024,9,moderate,66.67,132,198,79.7,14.32,25.1,100.0,114,12.1,science_oriented,1,0,1,0,0.7436,0.5862,0.8154,0.5993,0.3333,84.23,0.6009,average,44,5,100.0,28.25,20.91,47.94,High,High Risk,86.87,80.52,84.14,55.91,82.59,93.2,79.96,69.26,1,Parent Meeting,0
STU0089,2025,10,moderate,70.47,136,193,83.28,13.83,31.4,100.0,114,12.1,science_oriented,1,0,1,0,0.7457,0.5883,0.8158,0.5993,0.3333,101.63,0.6009,average,43,1,100.0,26.77,20.88,47.27,Medium,Medium Risk,91.28,85.86,88.49,59.18,84.82,94.64,84.08,74.79,1,Study Skills Workshop,1
STU0090,2023,8,irregular,54.5,109,200,71.39,15.64,23.3,100.0,122,7.6,language_oriented,0,0,1,0,0.5043,0.4243,0.5691,0.9035,0.6667,33.1,0.8137,good,51,1,100.0,36.36,36.94,55.6,High,High Risk,95.95,83.73,57.4,71.37,67.15,56.94,76.0,70.21,0,None,0
STU0090,2024,9,irregular,54.55,108,198,73.1,14.97,26.9,100.0,122,7.6,language_oriented,0,0,1,0,0.5128,0.4,0.5692,0.9035,0.6667,59.77,0.8137,good,56,1,100.0,35.5,37.19,55.27,High,High Risk,96.85,82.46,59.06,71.23,68.02,61.11,77.57,73.05,1,Study Skills Workshop,1
STU0090,2025,10,irregular,58.55,113,193,74.6,14.87,20.4,100.0,122,7.6,language_oriented,0,0,1,0,0.5085,0.4148,0.5684,0.9035,0.6667,43.83,0.8137,good,44,3,100.0,34.99,37.05,55.01,High,High Risk,96.99,84.91,58.99,74.51,69.79,62.6,79.39,72.96,0,None,0
STU0091,2023,8,irregular,45.0,90,200,56.03,18.08,8.9,100.0,96,11.0,language_oriented,0,0,2,1,0.4528,0.3774,0.518,0.9106,0.6667,63.02,0.6293,good,71,2,100.0,66.53,20.8,65.14,High,High Risk,87.1,50.63,53.95,71.35,46.32,34.81,54.2,65.19,0,None,0
STU0091,2024,9,irregular,45.45,90,198,58.45,17.69,12.9,100.0,96,11.0,language_oriented,0,0,1,2,0.4615,0.3889,0.5231,0.9106,0.6667,43.1,0.6293,good,61,3,100.0,58.39,20.61,61.43,High,High Risk,87.85,54.41,55.72,73.69,49.08,37.27,56.57,66.89,1,Counseling,1
STU0091,2025,10,irregular,38.86,75,193,60.14,18.21,9.7,100.0,96,11.0,language_oriented,0,0,1,2,0.4558,0.3843,0.5209,0.9106,0.6667,47.28,0.6293,good,70,2,100.0,57.83,20.69,61.2,High,High Risk,88.33,54.92,58.76,76.36,48.98,38.25,58.08,69.51,0,None,0
STU0092,2023,8,at-risk,23.0,46,200,17.21,9.74,4.5,59.8,72,3.3,balanced,1,0,10,0,0.2818,0.1828,0.3846,0.8307,0.6667,19.25,0.1,good,91,2,100.0,100.0,54.29,88.57,High,High Risk,13.63,16.29,12.63,14.92,11.81,12.14,33.22,18.87,0,None,0
STU0092,2024,9,at-risk,18.18,36,198,18.49,10.58,3.5,61.6,72,3.3,balanced,1,0,9,1,0.2821,0.1818,0.3846,0.8307,0.6667,20.45,0.1,good,91,3,100.0,100.0,54.3,88.57,High,High Risk,15.06,17.69,15.4,15.31,11.48,13.49,35.93,19.38,1,Counseling,1
STU0092,2025,10,at-risk,15.54,30,193,20.12,11.17,5.0,56.8,72,3.3,balanced,1,0,9,1,0.2806,0.1879,0.3842,0.8307,0.6667,35.83,0.1,good,82,2,100.0,100.0,54.24,88.56,High,High Risk,15.08,20.23,16.05,17.42,13.99,13.9,36.99,22.25,1,Tutoring,0
STU0093,2023,8,good,67.5,135,200,76.35,12.83,40.0,100.0,101,5.1,balanced,0,0,0,1,0.6409,0.4799,0.6463,0.8141,0.6667,177.38,0.6797,excellent,38,1,100.0,24.64,39.03,50.85,High,High Risk,79.36,78.57,73.17,69.81,81.08,68.81,93.4,65.66,0,None,0
STU0093,2024,9,good,68.69,136,198,77.47,13.05,40.9,100.0,101,5.1,balanced,0,0,0,1,0.641,0.48,0.6462,0.8141,0.6667,75.37,0.6797,excellent,36,1,100.0,24.19,39.03,50.64,High,High Risk,81.5,80.32,74.38,71.63,81.31,69.73,94.53,66.1,0,None,0
STU0093,2025,10,good,80.31,155,193,79.61,12.47,34.0,100.0,101,5.1,balanced,0,0,1,0,0.6403,0.4794,0.6474,0.8141,0.6667,147.93,0.6797,excellent,20,1,73.78,30.35,39.02,45.55,Medium,Medium Risk,83.03,83.86,75.6,72.67,82.38,71.37,95.24,70.99,1,Mentoring Program,1
STU0094,2023,8,excellent,90.0,180,200,96.74,4.12,62.5,100.0,114,17.1,language_oriented,1,0,0,0,0.8033,0.7017,0.8408,0.7017,0.6667,142.78,0.9176,excellent,10,0,37.0,5.24,12.57,16.6,Low,Low Risk,97.88,97.9,97.24,97.64,97.8,92.04,97.19,97.77,0,None,0
STU0094,2024,9,excellent,88.89,176,198,96.88,4.17,65.5,100.0,114,17.1,language_oriented,1,0,0,0,0.7949,0.7097,0.8462,0.7017,0.6667,126.38,0.9176,excellent,12,0,43.78,5.35,12.41,18.64,Low,Low Risk,98.05,97.93,97.56,97.78,97.83,92.29,97.51,97.84,0,None,0
STU0094,2025,10,excellent,90.16,174,193,97.39,3.15,68.5,100.0,114,17.1,language_oriented,1,0,0,0,0.7984,0.703,0.8419,0.7017,0.6667,150.38,0.9176,excellent,11,2,39.89,5.07,12.54,17.39,Low,Low Risk,97.89,98.0,97.57,97.76,97.82,95.2,97.71,97.91,0,None,0
STU0095,2023,8,moderate,56.5,113,200,67.01,13.04,26.2,100.0,78,9.5,balanced,1,0,1,0,0.7089,0.5297,0.7382,0.6822,0.6667,66.05,0.5228,average,59,3,100.0,34.02,22.14,50.84,High,High Risk,66.48,65.94,65.61,57.56,65.33,68.54,80.51,61.11,0,None,0
STU0095,2024,9,moderate,64.14,127,198,68.07,12.89,35.4,99.7,78,9.5,balanced,1,0,0,1,0.7179,0.5357,0.7385,0.6822,0.6667,100.4,0.5228,average,52,3,100.0,26.41,22.08,47.41,High,High Risk,65.32,66.52,65.91,61.12,65.8,69.08,82.66,62.94,1,Tutoring,0
STU0095,2025,10,moderate,67.88,131,193,68.36,13.07,29.6,100.0,78,9.5,balanced,1,0,1,0,0.7101,0.5305,0.7368,0.6822,0.6667,51.15,0.5228,average,43,1,100.0,33.45,22.16,50.59,High,High Risk,66.65,67.74,66.19,61.45,65.64,68.34,81.16,65.34,1,Counseling,1
STU0096,2023,8,moderate,66.0,132,200,52.66,12.9,10.4,98.5,85,9.4,science_oriented,1,0,1,4,0.4528,0.3774,0.5537,0.647,0.3333,71.68,0.7006,excellent,37,0,100.0,76.88,24.47,70.71,High,High Risk,45.08,52.97,51.8,47.66,71.95,44.69,59.79,46.9,0,None,0
STU0096,2024,9,moderate,70.2,139,198,55.05,12.45,19.7,96.5,85,9.4,science_oriented,1,0,1,2,0.4615,0.3889,0.5538,0.647,0.3333,46.82,0.7006,excellent,34,1,100.0,59.75,24.35,62.98,High,High Risk,48.38,55.0,53.43,50.72,74.13,47.58,61.39,50.53,1,Counseling,1
STU0096,2025,10,moderate,60.62,117,193,57.22,12.61,24.0,97.0,85,9.4,science_oriented,1,0,1,1,0.4558,0.3843,0.5526,0.647,0.3333,79.95,0.7006,excellent,32,1,100.0,51.0,24.42,59.05,High,High Risk,50.08,56.13,56.4,51.11,74.65,49.84,66.42,51.83,1,Parent Meeting,1
STU0097,2023,8,excellent,82.5,165,200,87.58,12.87,39.0,100.0,103,26.5,science_oriented,1,0,0,1,0.897,0.8094,0.918,0.7681,0.6667,173.07,0.903,excellent,14,0,54.25,15.03,9.23,25.35,Medium,Medium Risk,87.7,72.22,71.86,94.25,96.22,96.22,89.08,91.63,0,None,0
STU0097,2024,9,excellent,85.35,169,198,90.2,10.88,48.8,100.0,103,26.5,science_oriented,1,0,0,1,0.8974,0.8,0.9231,0.7681,0.6667,92.57,0.903,excellent,14,1,52.25,13.97,9.25,24.27,Low,Low Risk,87.95,77.65,79.1,96.09,96.38,97.24,92.13,93.03,0,None,0
STU0097,2025,10,excellent,83.42,161,193,91.72,9.81,47.3,100.0,103,26.5,science_oriented,1,0,0,1,0.8946,0.8042,0.9209,0.7681,0.6667,81.67,0.903,excellent,17,2,62.61,13.42,9.24,27.13,Medium,Medium Risk,92.05,80.83,80.41,95.85,97.48,97.29,92.0,94.74,0,None,0
STU0098,2023,8,moderate,68.5,137,200,66.48,15.12,23.6,100.0,94,8.3,science_oriented,0,0,1,1,0.7182,0.6545,0.7691,0.6139,0.3333,99.4,0.7498,excellent,26,0,100.0,42.04,18.39,53.52,High,High Risk,70.64,49.06,76.51,66.33,87.1,66.36,65.42,55.38,0,None,0
STU0098,2024,9,moderate,70.71,140,198,69.76,14.61,23.0,100.0,94,8.3,science_oriented,0,0,1,0,0.7179,0.6429,0.7692,0.6139,0.3333,54.3,0.7498,excellent,28,1,100.0,32.74,18.51,49.36,Medium,Medium Risk,74.93,52.21,79.39,72.33,86.18,67.3,69.81,59.04,1,Parent Meeting,0
STU0098,2025,10,moderate,69.95,135,193,72.13,14.52,21.7,100.0,94,8.3,science_oriented,0,0,1,0,0.7194,0.6465,0.7684,0.6139,0.3333,95.22,0.7498,excellent,30,0,100.0,31.76,18.48,48.91,High,High Risk,76.96,53.83,80.68,71.29,89.88,71.32,72.22,62.79,0,None,0
STU0099,2023,8,excellent,89.5,179,200,78.42,14.93,34.0,100.0,109,12.3,language_oriented,0,0,1,0,0.7518,0.6813,0.8511,0.689,0.6667,151.22,0.7529,good,10,5,37.35,28.59,15.35,27.91,Medium,Medium Risk,96.81,68.58,63.78,85.15,72.03,68.17,80.28,96.51,0,None,0
STU0099,2024,9,excellent,84.85,168,198,78.36,15.13,41.6,100.0,109,12.3,language_oriented,0,0,0,1,0.7436,0.6897,0.8462,0.689,0.6667,147.17,0.7529,good,16,4,58.61,21.78,15.34,31.22,Medium,Medium Risk,97.06,67.78,62.98,87.37,70.82,68.6,79.77,96.65,0,None,0
STU0099,2025,10,excellent,89.12,172,193,79.16,14.84,38.8,100.0,109,12.3,language_oriented,0,0,0,1,0.7457,0.682,0.8474,0.689,0.6667,146.22,0.7529,good,14,1,49.62,21.42,15.4,28.37,Low,Low Risk,97.41,69.61,61.82,84.94,72.01,70.36,81.87,97.01,1,Study Group,1
STU0100,2023,8,excellent,86.0,172,200,91.69,8.83,55.8,100.0,121,13.4,balanced,1,0,0,0,0.9485,0.7926,0.9846,0.7409,0.6667,153.62,0.7635,good,17,2,60.8,4.35,11.03,22.96,Low,Low Risk,91.92,80.29,95.48,96.18,85.18,97.38,90.27,95.78,0,None,0
STU0100,2024,9,excellent,84.34,167,198,93.42,7.61,59.4,100.0,121,13.4,balanced,1,0,0,0,0.9487,0.7838,0.9846,0.7409,0.6667,130.48,0.7635,good,18,2,64.96,3.66,11.12,23.91,Medium,Medium Risk,92.49,83.93,96.68,96.98,87.7,97.95,93.13,97.35,0,None,0
STU0100,2025,10,excellent,80.83,156,193,94.76,6.53,52.1,100.0,121,13.4,balanced,1,0,0,0,0.9473,0.7872,0.9842,0.7409,0.6667,172.3,0.7635,good,22,2,79.42,3.15,11.09,28.02,Medium,Medium Risk,95.84,87.46,97.05,97.87,90.19,97.75,93.84,97.74,1,Study Group,1
STU0101,2023,8,excellent,77.0,154,200,96.94,3.8,70.6,100.0,129,19.4,language_oriented,0,0,0,0,0.7696,0.711,0.8562,0.6928,0.6667,163.18,0.8507,good,23,2,85.1,5.83,13.43,31.51,Medium,Medium Risk,97.76,97.83,96.43,97.89,97.78,93.41,97.67,97.99,0,None,0
STU0101,2024,9,excellent,81.31,161,198,97.21,3.23,58.6,100.0,129,19.4,language_oriented,0,0,0,0,0.7692,0.7,0.8615,0.6928,0.6667,74.5,0.8507,good,22,6,79.08,5.73,13.46,29.67,Medium,Medium Risk,97.88,97.63,96.36,97.89,97.9,94.95,97.73,97.93,0,None,0
STU0101,2025,10,excellent,83.42,161,193,97.38,2.7,73.2,100.0,129,19.4,language_oriented,0,0,0,0,0.7721,0.7048,0.8577,0.6928,0.6667,114.47,0.8507,good,18,2,65.61,5.61,13.47,25.57,Medium,Medium Risk,97.99,97.76,97.4,97.88,97.49,95.91,97.7,97.62,1,Study Group,0
STU0102,2023,8,excellent,88.5,177,200,95.97,5.04,61.3,100.0,95,21.2,balanced,0,0,0,0,0.8376,0.7753,0.8463,0.7257,0.6667,169.3,0.7329,excellent,12,1,44.05,4.86,14.04,18.91,Low,Low Risk,97.47,97.56,95.8,97.36,92.8,92.19,97.73,97.8,0,None,0
STU0102,2024,9,excellent,82.32,163,198,96.37,4.58,68.7,100.0,95,21.2,balanced,0,0,0,0,0.8462,0.7879,0.8462,0.7257,0.6667,175.25,0.7329,excellent,19,1,69.37,4.53,13.92,26.33,Medium,Medium Risk,98.05,97.87,95.88,98.04,94.17,92.89,97.88,97.4,0,None,0
STU0102,2025,10,excellent,87.05,168,193,96.91,3.56,73.0,100.0,95,21.2,balanced,0,0,0,0,0.8419,0.7808,0.8474,0.7257,0.6667,155.08,0.7329,excellent,10,0,39.07,4.4,13.97,17.19,Low,Low Risk,98.02,97.65,96.52,97.9,95.27,94.74,97.69,98.13,1,Study Group,0
STU0103,2023,8,moderate,71.5,143,200,51.17,17.64,8.0,100.0,98,3.6,practical,0,0,1,4,0.6924,0.5186,0.7846,0.6624,0.6667,68.92,0.432,excellent,28,2,100.0,72.68,43.32,73.54,High,High Risk,51.52,40.66,51.81,41.81,63.09,38.16,79.13,42.86,0,None,0
STU0103,2024,9,moderate,72.73,144,198,55.19,17.76,14.2,100.0,98,3.6,practical,0,0,1,4,0.6923,0.5185,0.7846,0.6624,0.6667,56.53,0.432,excellent,30,0,100.0,71.08,43.32,72.81,High,High Risk,56.21,44.79,53.26,46.49,68.08,42.41,83.08,48.23,1,Counseling,0
STU0103,2025,10,moderate,73.06,141,193,59.62,18.09,12.7,100.0,98,3.6,practical,0,0,1,2,0.693,0.519,0.7842,0.6624,0.6667,38.8,0.432,excellent,21,1,81.86,53.29,43.32,59.37,Medium,Medium Risk,60.0,49.71,59.36,51.78,73.34,45.49,85.53,50.0,0,None,0
